"------------------------------------------------------------------------------------------ "
"  Spline of the atmospheric CO2 record based on ice core data before 1958,                 "
"  (Ethridge et. al., 1996; MacFarling Meure et al., 2006) and                              "
"  yearly averages of direct observations from Mauna Loa and the South Pole after and       "
"  including 1958 (from Scripps CO2 Program).                                               "
"                                                                                           "
"  in situ data is based on simple average of Mauna Loa and South Pole from values on Jan 1 "
"                                                                                           "   
"  For Mauna Loa Observatory, Hawaii: Latitude 19.5°N Longitude 155.6°W Elevation 3397m     "
"  For South Pole: Latitude 90.0°S Elevation 2810m                                          "
"                                                                                           "
"   Scripps CO2 Source: R. F. Keeling, S. C. Piper, A. F. Bollenbacher and S. J. Walker     "
"   Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                      "
"   Scripps Institution of Oceanography (SIO)                                               "
"   University of California                                                                "
"   La Jolla, California USA 92093-0244                                                     "
"                                                                                           "
"   Status of Scripps CO2 data and correspondence:                                          "
"                                                                                           "
"   These data are subject to revision based on recalibration of standard gases. Questions  "
"   about the data should be directed to Dr. Ralph Keeling (rkeeling@ucsd.edu) and          "
"   and Dr. Stephen Piper (scpiper@popmail.ucsd.edu), Scripps CO2 Program.                  "
"                                                                                           "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
"   Sample Date,       CO2                                                                  "
"   (year CE),        (ppm)                                                                 "
1679, 276.712
1680, 276.669
1681, 276.627
1682, 276.587
1683, 276.549
1684, 276.512
1685, 276.478
1686, 276.447
1687, 276.418
1688, 276.392
1689, 276.370
1690, 276.352
1691, 276.337
1692, 276.326
1693, 276.319
1694, 276.315
1695, 276.315
1696, 276.318
1697, 276.324
1698, 276.333
1699, 276.345
1700, 276.360
1701, 276.378
1702, 276.398
1703, 276.421
1704, 276.445
1705, 276.473
1706, 276.502
1707, 276.534
1708, 276.567
1709, 276.602
1710, 276.639
1711, 276.678
1712, 276.718
1713, 276.759
1714, 276.801
1715, 276.845
1716, 276.890
1717, 276.935
1718, 276.981
1719, 277.029
1720, 277.076
1721, 277.124
1722, 277.172
1723, 277.221
1724, 277.269
1725, 277.316
1726, 277.361
1727, 277.403
1728, 277.440
1729, 277.471
1730, 277.495
1731, 277.512
1732, 277.520
1733, 277.517
1734, 277.504
1735, 277.478
1736, 277.442
1737, 277.396
1738, 277.342
1739, 277.282
1740, 277.217
1741, 277.149
1742, 277.079
1743, 277.009
1744, 276.941
1745, 276.874
1746, 276.809
1747, 276.748
1748, 276.689
1749, 276.634
1750, 276.583
1751, 276.537
1752, 276.496
1753, 276.461
1754, 276.431
1755, 276.408
1756, 276.390
1757, 276.379
1758, 276.374
1759, 276.375
1760, 276.383
1761, 276.397
1762, 276.418
1763, 276.446
1764, 276.481
1765, 276.522
1766, 276.570
1767, 276.624
1768, 276.683
1769, 276.748
1770, 276.817
1771, 276.890
1772, 276.968
1773, 277.049
1774, 277.133
1775, 277.220
1776, 277.313
1777, 277.413
1778, 277.524
1779, 277.645
1780, 277.780
1781, 277.931
1782, 278.098
1783, 278.280
1784, 278.473
1785, 278.677
1786, 278.890
1787, 279.108
1788, 279.332
1789, 279.558
1790, 279.785
1791, 280.010
1792, 280.232
1793, 280.450
1794, 280.660
1795, 280.861
1796, 281.053
1797, 281.236
1798, 281.413
1799, 281.583
1800, 281.748
1801, 281.908
1802, 282.062
1803, 282.209
1804, 282.348
1805, 282.478
1806, 282.599
1807, 282.708
1808, 282.806
1809, 282.891
1810, 282.962
1811, 283.019
1812, 283.060
1813, 283.085
1814, 283.092
1815, 283.080
1816, 283.053
1817, 283.014
1818, 282.967
1819, 282.914
1820, 282.860
1821, 282.808
1822, 282.762
1823, 282.726
1824, 282.703
1825, 282.697
1826, 282.711
1827, 282.749
1828, 282.810
1829, 282.893
1830, 282.996
1831, 283.117
1832, 283.255
1833, 283.409
1834, 283.576
1835, 283.755
1836, 283.944
